zone,dron,blok,t_dilim_blok_ici,t_dakika_global,hex,risk,max_interval_dk
S1,D3,10,10,1180,H3149,5.8,242.6086956521739
S1,D3,11,10,1300,H3047,6.25,230.86956521739128
S1,D3,12,4,1360,H3221,5.8,242.6086956521739
S1,D3,12,8,1400,H3155,5.8,242.6086956521739
S1,D3,12,10,1420,H2555,4.9,266.0869565217391
S1,D4,1,1,10,H2717,6.25,230.86956521739128
S1,D4,1,2,20,H3155,5.8,242.6086956521739
S1,D4,1,3,30,H2315,5.5,250.43478260869563
S1,D4,1,4,40,H3053,5.8,242.6086956521739
S1,D4,1,5,50,H2513,7.75,191.7391304347826
S1,D4,1,6,60,H2525,5.05,262.17391304347825
S1,D4,1,8,80,H2837,5.05,262.17391304347825
S1,D4,1,10,100,H3161,5.8,242.6086956521739
S1,D4,2,1,130,H2627,6.55,223.04347826086956
S1,D4,2,2,140,H3053,5.8,242.6086956521739
S1,D4,2,3,150,H2633,7.75,191.7391304347826
S1,D4,2,4,160,H2633,7.75,191.7391304347826
S1,D4,2,5,170,H2633,7.75,191.7391304347826
S1,D4,2,6,180,H3335,8.2,180.0
S1,D4,2,7,190,H2537,7.75,191.7391304347826
S1,D4,2,8,200,H2513,7.75,191.7391304347826
S1,D4,2,9,210,H3341,6.55,223.04347826086956
S1,D4,2,11,230,H2927,5.5,250.43478260869563
S1,D4,3,1,250,H2411,5.95,238.69565217391303
S1,D4,3,3,270,H2717,6.25,230.86956521739128
S1,D4,3,5,290,H2837,5.05,262.17391304347825
S1,D4,3,6,300,H3047,6.25,230.86956521739128
S1,D4,3,7,310,H3143,5.05,262.17391304347825
S1,D4,3,8,320,H3221,5.8,242.6086956521739
S1,D4,3,9,330,H2921,4.6,273.9130434782609
S1,D4,3,10,340,H2207,5.5,250.43478260869563
S1,D4,4,4,400,H3035,5.05,262.17391304347825
S1,D4,4,6,420,H3017,5.5,250.43478260869563
S1,D4,4,8,440,H2519,5.5,250.43478260869563
S1,D4,4,10,460,H3239,5.05,262.17391304347825
S1,D4,5,1,490,H2837,5.05,262.17391304347825
S1,D4,6,3,630,H3437,5.05,262.17391304347825
S1,D4,6,5,650,H2609,5.05,262.17391304347825
S1,D4,6,6,660,H3467,5.35,254.3478260869565
S1,D4,6,8,680,H2531,5.05,262.17391304347825
S1,D4,6,10,700,H3449,4.6,273.9130434782609
S1,D4,7,5,770,H2429,5.05,262.17391304347825
S1,D4,7,6,780,H2615,7.0,211.30434782608694
S1,D4,7,9,810,H3365,5.35,254.3478260869565
S1,D4,7,10,820,H2633,7.75,191.7391304347826
S1,D4,8,5,890,H3023,3.1,313.04347826086956
S1,D4,8,6,900,H3467,5.35,254.3478260869565
S1,D4,8,10,940,H3347,5.05,262.17391304347825
S1,D4,9,1,970,H2921,4.6,273.9130434782609
S1,D4,9,2,980,H2855,4.9,266.0869565217391
S1,D4,9,4,1000,H2609,5.05,262.17391304347825
S1,D4,9,6,1020,H2957,5.8,242.6086956521739
S1,D4,9,8,1040,H3443,5.05,262.17391304347825
S1,D4,9,10,1060,H2951,6.25,230.86956521739128
S1,D4,10,4,1120,H3251,5.05,262.17391304347825
S1,D4,10,6,1140,H3239,5.05,262.17391304347825
S1,D4,10,8,1160,H2921,4.6,273.9130434782609
S1,D4,10,10,1180,H2519,5.5,250.43478260869563
S1,D5,1,1,10,H2711,6.25,230.86956521739128
S1,D5,1,2,20,H3371,5.8,242.6086956521739
S1,D5,1,3,30,H2519,5.5,250.43478260869563
S1,D5,1,4,40,H2759,5.35,254.3478260869565
S1,D5,1,5,50,H3233,7.75,191.7391304347826
S1,D5,1,6,60,H2855,4.9,266.0869565217391
S1,D5,1,8,80,H3227,5.05,262.17391304347825
S1,D5,1,10,100,H3143,5.05,262.17391304347825
S1,D5,2,1,130,H2411,5.95,238.69565217391303
S1,D5,2,2,140,H2849,5.8,242.6086956521739
S1,D5,2,4,160,H3233,7.75,191.7391304347826
S1,D5,2,5,170,H2513,7.75,191.7391304347826
S1,D5,2,6,180,H2537,7.75,191.7391304347826
S1,D5,2,7,190,H2513,7.75,191.7391304347826
S1,D5,2,8,200,H2615,7.0,211.30434782608694
S1,D5,2,9,210,H2309,6.1,234.78260869565216
S1,D5,2,11,230,H2621,5.5,250.43478260869563
S1,D5,3,1,250,H3263,5.35,254.3478260869565
S1,D5,3,4,280,H2639,5.8,242.6086956521739
S1,D5,3,6,300,H3029,5.5,250.43478260869563
S1,D5,3,7,310,H2429,5.05,262.17391304347825
S1,D5,3,8,320,H3365,5.35,254.3478260869565
S1,D5,3,10,340,H2417,5.05,262.17391304347825
S1,D5,4,2,380,H2939,4.6,273.9130434782609
S1,D5,4,4,400,H3227,5.05,262.17391304347825
S1,D5,4,6,420,H3041,4.6,273.9130434782609
S1,D5,4,8,440,H2915,5.35,254.3478260869565
S1,D5,5,1,490,H2753,4.9,266.0869565217391
S1,D5,5,6,540,H2945,5.8,242.6086956521739
S1,D5,5,8,560,H3443,5.05,262.17391304347825
S1,D5,5,10,580,H3347,5.05,262.17391304347825
S1,D5,6,3,630,H2405,2.65,324.78260869565213
S1,D5,6,4,640,H2759,5.35,254.3478260869565
S1,D5,6,5,650,H3329,5.05,262.17391304347825
S1,D5,6,6,660,H3437,5.05,262.17391304347825
S1,D5,6,8,680,H3251,5.05,262.17391304347825
S1,D5,6,10,700,H3041,4.6,273.9130434782609
S1,D5,8,7,910,H2957,5.8,242.6086956521739
S1,D5,8,10,940,H3143,5.05,262.17391304347825
S1,D5,9,1,970,H2327,3.7,297.39130434782606
S1,D5,9,3,990,H2747,4.6,273.9130434782609
S1,D5,9,8,1040,H2213,5.05,262.17391304347825
S1,D5,9,10,1060,H2411,5.95,238.69565217391303
S1,D5,10,4,1120,H3143,5.05,262.17391304347825
S1,D5,10,6,1140,H3425,5.05,262.17391304347825
S1,D5,10,8,1160,H2087,4.3,281.7391304347826
