zone,dron,blok,t_dilim_blok_ici,t_dakika_global,kaynak,hedef
S1,D7,4,6,420,H2327,S1
S1,D7,5,0,480,S1,S1
S1,D7,5,3,510,H2735,H3263
S1,D7,5,11,590,H2825,S1
S1,D7,6,0,600,S1,S1
S1,D7,6,2,620,H2513,S1
S1,D7,6,4,640,H2405,S1
S1,D7,6,6,660,H2609,H2207
S1,D7,6,8,680,H2813,H3017
S1,D7,6,10,700,H3017,S1
S1,D7,7,0,720,S1,S1
S1,D7,7,2,740,H2507,S1
S1,D7,7,4,760,H2615,S1
S1,D7,7,6,780,H2519,S1
S1,D7,7,10,820,H2411,S1
S1,D7,8,0,840,S1,S1
S1,D7,8,2,860,H3239,S1
S1,D7,8,6,900,H3353,S1
S1,D7,9,0,960,S1,S1
S1,D7,9,3,990,H2717,H3125
S1,D7,9,11,1070,H2813,S1
S1,D7,10,0,1080,S1,S1
S1,D7,10,2,1100,H2087,S1
S1,D7,10,4,1120,H2411,H2525
S1,D7,10,5,1130,H2525,S1
S1,D7,10,8,1160,H2633,S1
S1,D7,10,10,1180,H2735,S1
S1,D7,11,0,1200,S1,S1
S1,D7,11,2,1220,H3365,S1
S1,D7,11,4,1240,H3359,S1
S1,D7,11,6,1260,H3455,S1
S1,D7,11,10,1300,H3467,S1
S1,D7,12,0,1320,S1,S1
S1,D7,12,2,1340,H2813,S1
S1,D7,12,4,1360,H2915,S1
S1,D7,12,6,1380,H3017,S1
S1,D8,1,0,0,S1,H2639
S1,D8,1,11,110,H3131,S1
S1,D8,2,0,120,S1,H2321
S1,D8,2,10,220,H2819,H2321
S1,D8,3,0,240,S1,H2525
S1,D8,3,2,260,H2717,H2711
S1,D8,3,4,280,H2813,H2213
S1,D8,3,6,300,H2711,H2717
S1,D8,3,7,310,H2717,H3347
S1,D8,3,9,330,H2609,H2717
S1,D8,3,10,340,H2717,H2843
S1,D8,4,0,360,S1,S1
S1,D8,4,2,380,H3371,S1
S1,D8,4,4,400,H3365,S1
S1,D8,4,6,420,H3455,S1
S1,D8,4,8,440,H3443,S1
S1,D8,4,9,450,S1,S1
S1,D8,4,11,470,H3035,S1
S1,D8,5,0,480,S1,S1
S1,D8,5,2,500,H2615,S1
S1,D8,5,5,530,H2723,S1
S1,D8,5,7,550,H2621,H3137
S1,D8,5,9,570,H2525,S1
S1,D8,6,0,600,S1,S1
S1,D8,6,2,620,H3461,S1
S1,D8,6,5,650,H3359,S1
S1,D8,6,9,690,H3467,H3461
S1,D8,7,0,720,S1,S1
S1,D8,7,2,740,H3035,S1
S1,D8,7,4,760,S1,H2633
S1,D8,7,5,770,H2633,H2855
S1,D8,7,7,790,H2729,S1
S1,D8,7,11,830,H2819,S1
S1,D8,8,0,840,S1,S1
S1,D8,8,3,870,H2651,S1
S1,D8,8,6,900,H2855,S1
S1,D8,8,9,930,H2957,S1
S1,D8,9,0,960,S1,S1
S1,D8,9,2,980,H2327,S1
S1,D8,9,4,1000,H2423,S1
S1,D8,9,7,1030,H2531,S1
S1,D8,9,9,1050,S1,S1
S1,D8,9,11,1070,H2951,S1
S1,D8,10,0,1080,S1,S1
S1,D8,10,2,1100,H3137,S1
S1,D8,10,4,1120,H3041,S1
S1,D8,10,6,1140,H3035,H3029
S1,D8,10,7,1150,H3029,S1
S1,D8,11,0,1200,S1,S1
S1,D8,11,2,1220,H2441,S1
S1,D8,11,4,1240,H2333,S1
S1,D8,11,10,1300,H2537,S1
